"","Theme","Sub.Theme","Feature.Name","Co.ordinates","lat","lon","Category"
"105","Leisure/Recreation","Railway Station","Flemington Bridge Railway Station","-37.7834303940347, 144.961982577553",-37.7834303940347,144.961982577553,"Leisure/Recreation"
"106","Place Of Assembly","Retail/Office/Carpark","Council House 2 (CH2)","-37.8077644149636, 144.965463853978",-37.8077644149636,144.965463853978,"Place Of Assembly"
"107","Place Of Assembly","Informal Outdoor Facility (Park/Garden/Reserve)","Carlton Gardens South","-37.8218124583016, 144.968337832721",-37.8218124583016,144.968337832721,"Place Of Assembly"
"108","Leisure/Recreation","Church","Wesley Church","-37.8218460949601, 144.956665812218",-37.8218460949601,144.956665812218,"Leisure/Recreation"
"109","Office","Church","St Augustines Church","-37.7990921023192, 144.952635945774",-37.7990921023192,144.952635945774,"Institutional"
"110","Place Of Assembly","Church","Church of Christ","-37.8252455123297, 144.95435243249",-37.8252455123297,144.95435243249,"Place Of Assembly"
"111","Place Of Assembly","Church","Holy Trinity","-37.8242574266145, 144.953478052064",-37.8242574266145,144.953478052064,"Place Of Assembly"
"112","Place Of Assembly","Church","Melbourne Unitarian Church","-37.8219947335768, 144.968837288153",-37.8219947335768,144.968837288153,"Place Of Assembly"
"113","Community Use","Church","All Nations Uniting Church","-37.8150754791411, 144.966542722283",-37.8150754791411,144.966542722283,"Community Use"
"114","Mixed Use","Church","Our Lady of Lebanon Church","-37.824887401234, 144.949794297819",-37.824887401234,144.949794297819,"Mixed Use"
"115","Community Use","Church","St Alban Anglican Church","-37.8233471608733, 144.974686151365",-37.8233471608733,144.974686151365,"Community Use"
"117","Place Of Assembly","Church","Holy Rosary","-37.8174831423197, 144.969899048343",-37.8174831423197,144.969899048343,"Place Of Assembly"
"118","Purpose Built","Private Hospital","Melbourne Private Hospital","-37.8158572333481, 144.94582326909",-37.8158572333481,144.94582326909,"Leisure/Recreation"
"120","Leisure/Recreation","Police Station","Victoria Police","-37.8247252673963, 144.98380297866",-37.8247252673963,144.98380297866,"Leisure/Recreation"
"121","Place Of Assembly","Private Sports Club/Facility","Royal Park Golf Course","-37.8165177307702, 144.943475014215",-37.8165177307702,144.943475014215,"Place Of Assembly"
"122","Leisure/Recreation","Major Sports & Recreation Facility","Visy Park","-37.8116163666726, 144.937588920436",-37.8116163666726,144.937588920436,"Leisure/Recreation"
"123","Education Centre","Art Gallery/Museum","Old Melbourne Gaol Crime & Justice Experience","-37.8221818203024, 144.948908460665",-37.8221818203024,144.948908460665,"Education Centre"
"124","Leisure/Recreation","Theatre Live","Playhouse","-37.8213252086842, 144.977591098955",-37.8213252086842,144.977591098955,"Leisure/Recreation"
