"","Theme","Sub.Theme","Feature.Name","Co.ordinates","lat","lon","Category"
"16","Place Of Assembly","Public Buildings","State Library Victoria","-37.8216684581887, 144.968836241692",-37.8216684581887,144.968836241692,"Place Of Assembly"
"17","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Fitzroy Gardens","-37.7908082646624, 144.912142987372",-37.7908082646624,144.912142987372,"Leisure/Recreation"
"18","Leisure/Recreation","Art Gallery/Museum","Victorian Arts Centre","-37.8143993575938, 144.975952335785",-37.8143993575938,144.975952335785,"Leisure/Recreation"
"19","Mixed Use","Public Buildings","Melbourne Town Hall","-37.8129178793082, 144.975236759799",-37.8129178793082,144.975236759799,"Mixed Use"
"21","Community Use","Art Gallery/Museum","Australian Centre For The Moving Image (ACMI)","-37.8136147671606, 144.956846193891",-37.8136147671606,144.956846193891,"Community Use"
"22","Transport","Office","Parliament House","-37.8122356514626, 144.956318211113",-37.8122356514626,144.956318211113,"Transport"
"23","Leisure/Recreation","Church","St Patricks Cathedral","-37.8194921618419, 144.983402879078",-37.8194921618419,144.983402879078,"Leisure/Recreation"
"25","Mixed Use","Outdoor Recreation Facility (Zoo, Golf Course)","Melbourne Showgrounds","-37.8202245786597, 144.965989052839",-37.8202245786597,144.965989052839,"Mixed Use"
"26","Place Of Assembly","Art Gallery/Museum","Cooks' Cottage","-37.8266045432686, 144.967252924593",-37.8266045432686,144.967252924593,"Place Of Assembly"
"27","Place of Worship","Art Gallery/Museum","Immigration Museum","-37.8101140950474, 144.975901529712",-37.8101140950474,144.975901529712,"Place of Worship"
"28","Office","Major Sports & Recreation Facility","Melbourne Park","-37.811246655376, 144.97372641185",-37.811246655376,144.97372641185,"Institutional"
"29","Office","Church","St Francis Church","-37.8121838748712, 144.957055454136",-37.8121838748712,144.957055454136,"Institutional"
"30","Leisure/Recreation","Church","St James Church","-37.8216381244891, 144.971049530478",-37.8216381244891,144.971049530478,"Leisure/Recreation"
"31","Office","Church","St Mary's Anglican Church","-37.8176921210305, 144.968740597156",-37.8176921210305,144.968740597156,"Institutional"
"32","Leisure/Recreation","Church","Scots Church","-37.8178516571684, 144.968963600783",-37.8178516571684,144.968963600783,"Leisure/Recreation"
"33","Leisure/Recreation","Church","St Michael's Uniting Church","-37.8152178789077, 144.941617889032",-37.8152178789077,144.941617889032,"Leisure/Recreation"
"34","Purpose Built","Church","Greek Orthodox Church","-37.8142318521296, 144.935655305362",-37.8142318521296,144.935655305362,"Leisure/Recreation"
"35","Transport","Church","North Melbourne Uniting","-37.8152925454954, 144.942283726231",-37.8152925454954,144.942283726231,"Transport"
"36","Leisure/Recreation","Church","South Yarra Presbyterian Church","-37.7878473341234, 144.922972125346",-37.7878473341234,144.922972125346,"Leisure/Recreation"
"39","Leisure/Recreation","Major Sports & Recreation Facility","Carlton Football Club","-37.8116945351989, 144.936833674975",-37.8116945351989,144.936833674975,"Leisure/Recreation"
"40","Leisure/Recreation","Primary Schools","Carlton Gardens Primary School","-37.8220456119807, 144.978487173787",-37.8220456119807,144.978487173787,"Leisure/Recreation"
"41","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Carlton Gardens North","-37.8209085970021, 144.978735802793",-37.8209085970021,144.978735802793,"Leisure/Recreation"
"42","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","Kings Domain","-37.823110002667, 144.981834802535",-37.823110002667,144.981834802535,"Leisure/Recreation"
"43","Place Of Assembly","Secondary Schools","Melbourne Grammar School","-37.8035518129299, 144.971690718887",-37.8035518129299,144.971690718887,"Place Of Assembly"
"44","Community Use","Theatre Live","FairFax Studio","-37.8239733704282, 144.967450979234",-37.8239733704282,144.967450979234,"Community Use"
"45","Community Use","Major Sports & Recreation Facility","Flemington Racecourse","-37.8238327885805, 144.967682729667",-37.8238327885805,144.967682729667,"Community Use"
"46","Place Of Assembly","Informal Outdoor Facility (Park/Garden/Reserve)","Treasury Gardens","-37.8199901009015, 144.967992144257",-37.8199901009015,144.967992144257,"Place Of Assembly"
"47","Leisure/Recreation","Retail/Office","Treasury Reserve","-37.7982358832177, 144.923837074813",-37.7982358832177,144.923837074813,"Leisure/Recreation"
"48","Transport","Private Hospital","Epworth Freemasons Hospital : Medical Centre","-37.7997270537735, 144.925837749713",-37.7997270537735,144.925837749713,"Transport"
"50","Transport","Railway Station","Flagstaff Railway Station","-37.7812684282825, 144.951667833921",-37.7812684282825,144.951667833921,"Transport"
"51","Place Of Assembly","Vacant Land - Undeveloped Site","Melbourne International Karting Complex","-37.8189544909462, 144.984669809381",-37.8189544909462,144.984669809381,"Place Of Assembly"
"52","Office","Retail/Office/Carpark","Southgate Arts and Leisure Precinct","-37.8244982228756, 144.964675254819",-37.8244982228756,144.964675254819,"Institutional"
"53","Transport","Art Gallery/Museum","Australian Centre for Contemporary Art","-37.8116384403974, 144.9561186805",-37.8116384403974,144.9561186805,"Transport"
"54","Transport","Office","Former Royal Mint","-37.8105992402369, 144.96169061383",-37.8105992402369,144.96169061383,"Transport"
"55","Transport","Informal Outdoor Facility (Park/Garden/Reserve)","Queen Victoria Gardens","-37.8108930047401, 144.963100728702",-37.8108930047401,144.963100728702,"Transport"
"56","Place Of Assembly","Office","SBS (Special Broadcasting Service)","-37.814954347831, 144.96732254212",-37.814954347831,144.96732254212,"Place Of Assembly"
"57","Leisure/Recreation","Informal Outdoor Facility (Park/Garden/Reserve)","New Quay","-37.7948375315825, 144.915607065132",-37.7948375315825,144.915607065132,"Leisure/Recreation"
"58","Leisure/Recreation","Film & RV Studio","Central City Studios","-37.8111222889277, 144.954696055235",-37.8111222889277,144.954696055235,"Leisure/Recreation"
