"Business.address","Trading.name","Seating_type","Number_of_seats","Census.year","Block.ID","Property.ID","Base.property.ID","Building.address","CLUE.small.area","Industry..ANZSIC4..code","Industry..ANZSIC4..description","Longitude","Latitude","location"
"Ground 362 Little Bourke Street MELBOURNE VIC 3000","+39 Pizzeria & Antipasteria","Indoor",66,2022,64,105873,105873,"362-364 Little Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9617492882,-37.813271637208,"-37.81327163720805, 144.9617492882"
"Shop 5B, 353 Little Collins Street MELBOURNE VIC 3000","11 Inch Pizza","Indoor, Outdoor",18,2022,34,110669,110669,"353-359 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.96299531095,-37.8156982802892,"-37.815698280289155, 144.96299531095"
"127 Pelham Street CARLTON VIC 3053","127 Cafe Go","Outdoor, Indoor",56,2022,255,109366,109366,"127-135 Pelham Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.963945243916,-37.80276992985,"-37.80276992985, 144.96394524391638"
"Suite 1, Pier 35 263-329 Lorimer Street PORT MELBOURNE VIC 3207","14 Days Of Cheese","Indoor, Outdoor",90,2022,785,110535,110535,"263-329 Lorimer Street PORT MELBOURNE VIC 3207","Port Melbourne",4511,"Cafes and Restaurants",144.904228368848,-37.8253639078,"-37.8253639078, 144.90422836884795"
"3 Gower Street KENSINGTON VIC 3031","1565","Indoor",20,2022,523,104380,104380,"3 Gower Street KENSINGTON VIC 3031","Kensington",4512,"Takeaway Food Services",144.93007057945,-37.7947027707619,"-37.794702770761944, 144.93007057945"
"82 River Esplanade DOCKLANDS VIC 3008","18 Pence Lane Coffee & Food","Indoor, Outdoor",60,2022,773,577280,577280,"72-82 Lorimer Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.944971324522,-37.8247087611,"-37.8247087611, 144.94497132452153"
"Shop 10, Ground 93-107 Swanston Street MELBOURNE VIC 3000","1932 Cafe & Restaurant","Outdoor, Indoor",38,2022,35,109267,109267,"220-226 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9661030243,-37.8152969077205,"-37.81529690772045, 144.9661030243"
"Part 226 Pelham Street MELBOURNE VIC 3000","226 Sushi","Outdoor",6,2022,239,107547,107547,"226 Pelham Street MELBOURNE VIC 3000","Carlton",4512,"Takeaway Food Services",144.95824364775,-37.8016848073996,"-37.8016848073996, 144.95824364775"
"279 Victoria Street WEST MELBOURNE VIC 3003","279","Outdoor, Indoor",31,2022,424,109699,109699,"279 Victoria Street WEST MELBOURNE VIC 3003","West Melbourne (Residential)",4511,"Cafes and Restaurants",144.95197015405,-37.8056690361242,"-37.80566903612417, 144.95197015405"
"513 Elizabeth Street MELBOURNE VIC 3000","3 Brothersss","Outdoor",36,2022,113,110690,108118,"507-523 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9576272223,-37.8078325742213,"-37.807832574221266, 144.9576272223"
"4 Centre Place MELBOURNE VIC 3000","3 LT Monkeys","Outdoor, Indoor",12,2022,25,101789,101789,"252-254 Flinders Lane MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.96559654045,-37.816602896192,"-37.81660289619204, 144.96559654045"
"309 Exhibition Street MELBOURNE VIC 3000","65 Degrees Cafe","Indoor, Outdoor",30,2022,87,103613,103613,"309 Exhibition Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.968725571596,-37.80874116145,"-37.80874116145, 144.96872557159605"
"6-12 Miles Street SOUTHBANK VIC 3006","8 Miles Cafe & Convenience","Indoor",30,2022,742,111297,111297,"6-12 Miles Street SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.968021237595,-37.8284344442,"-37.8284344442, 144.96802123759488"
"Part Shop 16, Ground 120 Pearl River Road DOCKLANDS VIC 3008","8 Street Docklands","Indoor",40,2022,1110,620301,620301,"120 Pearl River Road DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.936589267222,-37.811859459,"-37.811859459, 144.93658926722165"
"Shop G3, 163 Franklin Street MELBOURNE VIC 3000","852 Plus Eight Five Two Cafe","Outdoor, Indoor",40,2022,104,104084,104084,"151-165 Franklin Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95956878425,-37.8090434878174,"-37.809043487817426, 144.95956878425"
"362 Abbotsford Street NORTH MELBOURNE VIC 3051","9 FaceThai Cuisine","Indoor",10,2022,326,104588,104588,"38-48 Haines Street NORTH MELBOURNE VIC 3051","North Melbourne",4512,"Takeaway Food Services",144.946699823682,-37.79823078805,"-37.798230788050006, 144.94669982368217"
"Shop 1A Concourse 700 Bourke Street DOCKLANDS VIC 3008","90 Secondi","Indoor",90,2022,1103,573401,573401,"Bourke Junction 700-704 Bourke Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.94936462985,-37.8171450656642,"-37.81714506566416, 144.94936462985"
"Part Ground 45 William Street MELBOURNE VIC 3000","@  Cafe 45","Outdoor, Indoor",45,2022,22,110092,110092,"35-47 William Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.959139539842,-37.81857938465,"-37.81857938464999, 144.95913953984214"
"195 Lonsdale Street MELBOURNE VIC 3000","@T Ease","Indoor, Outdoor",70,2022,66,105687,105687,"195 Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96663043665,-37.8112681648142,"-37.81126816481424, 144.96663043665"
"28 Leicester Street CARLTON VIC 3053","A Cafe Called John","Outdoor, Indoor",80,2022,263,105527,105527,"Journal - Uni Place 16-32 Leicester Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.960507711782,-37.80570166935,"-37.80570166935, 144.96050771178167"
"22 Duckboard Place MELBOURNE VIC 3000","A Hereford Beefstouw","Outdoor, Indoor",149,2022,17,104027,104027,"100-102 Flinders Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.97137050245,-37.8159373579886,"-37.81593735798856, 144.97137050245"
"269 City Road SOUTHBANK VIC 3006","A Treat of France","Outdoor, Indoor",35,2022,732,110373,110373,"The Bank Apartments 269-283 City Road SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.9590326674,-37.8272990101542,"-37.82729901015425, 144.95903266739998"
"37 Flemington Road NORTH MELBOURNE VIC 3051","A Treat of France","Outdoor, Indoor",36,2022,376,103812,103812,"37 Flemington Road NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.95517027217,-37.80032164085,"-37.80032164085, 144.9551702721701"
"Shop 2, Ground 800 Collins Street DOCKLANDS VIC 3008","A25 Pizzeria","Indoor, Outdoor",84,2022,1108,613252,613252,"790-814 Collins Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.945832619841,-37.82104415505,"-37.82104415505, 144.94583261984098"
"Ground 353 Queen Street MELBOURNE VIC 3000","ABC Chicken","Indoor",60,2022,93,108083,108083,"ABeckett 181 175-181 A'Beckett Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.958211898954,-37.81022016625,"-37.81022016625, 144.95821189895395"
"Part 111 Sturt Street SOUTHBANK VIC 3006","ACCA Bookshop and Café","Indoor",10,2022,741,110611,110611,"Australian Centre Contemporary Art 101-111 Sturt Street SOUTHBANK VIC 3006","Southbank",4512,"Takeaway Food Services",144.967143518958,-37.82651790535,"-37.82651790535, 144.96714351895767"
"Shop 5, Ground 470 Collins Street MELBOURNE VIC 3000","AT THE GEORGE","Indoor, Outdoor",22,2022,32,102119,102119,"468-478 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.958333741297,-37.81753764475,"-37.81753764475, 144.95833374129745"
"Tenancy 1, Foyer 181 William Street MELBOURNE VIC 3000","Abacus CBD","Indoor",20,2022,52,612820,636824,"CGU Tower 181 William Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.957392013845,-37.81531893625,"-37.815318936249994, 144.9573920138448"
"109 Elgin Street CARLTON VIC 3053","Abla's Restaurant","Indoor",80,2022,223,103086,103086,"109 Elgin Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.9710337473,-37.7978100089576,"-37.7978100089576, 144.9710337473"
"165 Lonsdale Street MELBOURNE VIC 3000","Above and Beyond Grill and Bar","Indoor",90,2022,67,108581,108581,"226-236 Russell Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.967643846553,-37.8109824535,"-37.8109824535, 144.96764384655324"
"23 Aquitania Way DOCKLANDS VIC 3008","Achelya Cafe & Kebab Restaurant","Indoor, Outdoor",118,2022,1109,560004,560004,"24-42 Newquay Promenade DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.942170472073,-37.81436129865,"-37.81436129865, 144.9421704720731"
"Shop 478 Drummond Street CARLTON VIC 3053","Adonai Foods","Indoor, Outdoor",100,2022,212,106871,102697,"478 Drummond Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.969250086662,-37.794750219,"-37.794750219, 144.96925008666173"
"188 Queensberry Street CARLTON VIC 3053","Adozen Adozen","Outdoor, Indoor",28,2022,256,108029,108029,"599-605 Swanston Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.962782280816,-37.80429627265,"-37.80429627265, 144.96278228081553"
"Shop VG01 17 Dukes Walk SOUTH WHARF VIC 3006","Aerial Events","Indoor",468,2022,804,110542,110484,"South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006","Southbank",6712,"Non-Residential Property Operators",144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
"116 Errol Street NORTH MELBOURNE VIC 3051","Affinity On Errol","Indoor, Outdoor",44,2022,369,103498,103498,"116-118 Errol Street NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.950095655663,-37.8022349126,"-37.8022349126, 144.95009565566312"
"297 Lygon Street CARLTON VIC 3053","Agostino","Indoor",90,2022,207,106142,106142,"291-299 Lygon Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.9670416933,-37.7983889523098,"-37.79838895230975, 144.96704169330002"
"Shop 1, Ground 517 St Kilda Road MELBOURNE VIC 3004","Ai Sushi","Indoor",28,2022,760,108645,108645,"517 St Kilda Road MELBOURNE VIC 3004","Melbourne (Remainder)",4511,"Cafes and Restaurants",144.979288742772,-37.84459257985,"-37.84459257985, 144.97928874277196"
"9 Rakaia Way DOCKLANDS VIC 3008","Aim Thai","Indoor",36,2022,1109,601815,601815,"Aquavista 397-407 Docklands Drive DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.940211638185,-37.81428809935,"-37.814288099349994, 144.9402116381848"
"24 Centre Place MELBOURNE VIC 3000","Aix Cafe","Indoor, Outdoor",21,2022,25,101789,101789,"252-254 Flinders Lane MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96559654045,-37.816602896192,"-37.81660289619204, 144.96559654045"
"Shop 13, Ground 300 Lonsdale Street MELBOURNE VIC 3000","Ajisen Ramen","Indoor, Outdoor",140,2022,85,105746,105746,"Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.962838870636,-37.8109017475,"-37.8109017475, 144.96283887063584"
"349 Flinders Lane MELBOURNE VIC 3000","Akai Ito / Ototo","Indoor",170,2022,14,103952,103952,"349-351 Flinders Lane MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9628576858,-37.8178728705466,"-37.8178728705466, 144.9628576858"
"Part Ground 105 Queen Street MELBOURNE VIC 3000","Aki Sushi","Indoor",70,2022,33,108067,108067,"103-105 Queen Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.960811864621,-37.8161548995,"-37.816154899500006, 144.96081186462072"
"221 Russell Street MELBOURNE VIC 3000","Akira Ramen Karaage Bar","Indoor",36,2022,66,108552,108552,"221-223 Russell Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96716624913,-37.81140837375,"-37.81140837375, 144.96716624913049"
"Part 161-163 Nicholson Street CARLTON VIC 3053","Al Dente Enoteca","Indoor, Outdoor",82,2022,232,106944,106944,"161-163 Nicholson Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.974801204896,-37.7963886722,"-37.7963886722, 144.97480120489553"
"171-173 Curzon Street NORTH MELBOURNE VIC 3051","Albion Hotel","Indoor, Outdoor",75,2022,327,102352,102352,"171-173 Curzon Street NORTH MELBOURNE VIC 3051","North Melbourne",4520,"Pubs, Taverns and Bars",144.948550686176,-37.7988987439,"-37.7988987439, 144.94855068617562"
"157-159 Victoria Street MELBOURNE VIC 3000","Alex Canteen","Indoor",48,2022,113,110671,108118,"133-159 Victoria Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9576272223,-37.8078325742213,"-37.807832574221266, 144.9576272223"
"81 Collins Street MELBOURNE VIC 3000","Alexandra Club","Indoor",160,2022,27,102065,102065,"Alexandra Club 75-81 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4530,"Clubs (Hospitality)",144.971178010634,-37.81440840355,"-37.81440840355, 144.97117801063422"
"Shop 2-3, 55 Commercial Road MELBOURNE VIC 3004","Alf's Cafe","Indoor, Outdoor",374,2022,870,102178,102178,"Alfred Hospital 23-99 Commercial Road PRAHRAN VIC 3181","Melbourne (Remainder)",4511,"Cafes and Restaurants",144.982816232929,-37.84657030085,"-37.84657030085, 144.9828162329293"
"Shop 1, Ground 471 Little Bourke Street MELBOURNE VIC 3000","Alibi Urban Gastropub","Indoor, Outdoor",92,2022,53,105855,105855,"459-475 Little Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95904148935,-37.8145892689669,"-37.81458926896688, 144.95904148935"
"Shop 4, 111 Hardware Street MELBOURNE VIC 3000","Alien & Coco","Indoor",2,2022,74,105738,105738,"394-400 Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.96053073105,-37.812408564487,"-37.81240856448699, 144.96053073105"
"536 Little Lonsdale Street MELBOURNE VIC 3000","All 4 U Cafe & Bar","Indoor",40,2022,81,106029,106029,"536-548 Little Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.953242761769,-37.8135989884,"-37.8135989884, 144.95324276176925"
"55B Newquay Promenade DOCKLANDS VIC 3008","All Smiles","Indoor, Outdoor",200,2022,1109,573925,573925,"55 Newquay Promenade DOCKLANDS VIC 3008","Docklands",4513,"Catering Services",144.941416299101,-37.81534620825,"-37.815346208250006, 144.94141629910104"
"Part 205 Collins Street MELBOURNE VIC 3000","Allegro Restaurant","Indoor",75,2022,26,109418,109418,"199-209 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9674251999,-37.8158112304411,"-37.81581123044113, 144.9674251999"
"Shop 6-7, 166 Albert Street, EAST MELBOURNE VIC 3002","Alley Cat","Outdoor, Indoor",90,2022,613,593697,109643,"The Victoria 162 Albert Street EAST MELBOURNE VIC 3002","East Melbourne",4511,"Cafes and Restaurants",144.985624213608,-37.81004733425,"-37.81004733425, 144.9856242136076"
"Part Ground 495 Collins Street MELBOURNE VIC 3000","Alluvial Restaurant","Indoor",110,2022,22,102103,102103,"487-503 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95811744965,-37.8185399465484,"-37.81853994654838, 144.95811744965"
"106 Newquay Promenade DOCKLANDS VIC 3008","Almina @ Docklands","Indoor, Outdoor",220,2022,1109,601810,593728,"West Building Newquay Central 439-441 Docklands Drive DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.939581606632,-37.8152440667,"-37.8152440667, 144.93958160663215"
"636-638 Bourke Street MELBOURNE VIC 3000","Alto Hotel On Bourke","Indoor",24,2022,51,101169,101169,"636-638 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4400,"Accommodation",144.9547129172,-37.8162829735254,"-37.81628297352541, 144.9547129172"
"Ground 359 Victoria Street WEST MELBOURNE VIC 3003","Amiconi","Indoor, Outdoor",68,2022,423,109720,109720,"359 Victoria Street WEST MELBOURNE VIC 3003","West Melbourne (Residential)",4511,"Cafes and Restaurants",144.9495847446,-37.8053840157139,"-37.805384015713926, 144.9495847446"
"Shop W1, 11 Southern Cross Lane MELBOURNE VIC 3000","Amie's Bakery","Outdoor",33,2022,47,625840,103597,"111-129 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.970109375538,-37.81281419155,"-37.81281419155, 144.97010937553796"
"Lower & Upper Ground 75-77 Hardware Lane MELBOURNE VIC 3000","Amigos Hardware Lane","Indoor, Outdoor",144,2022,64,104660,104660,"75-77 Hardware Lane MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.960866669456,-37.8131433917,"-37.8131433917, 144.96086666945575"
"123-129 Howard Street NORTH MELBOURNE VIC 3051","Ample Cafe Bar","Outdoor, Indoor",67,2022,356,105025,105025,"123-129 Howard Street NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.95369625715,-37.8040974313323,"-37.80409743133234, 144.95369625715"
"196 River Esplanade DOCKLANDS VIC 3008","Anchor Eatery","Outdoor, Indoor",14,2022,773,627016,627016,"73-91 South Wharf Drive DOCKLANDS VIC 3008","Docklands",4512,"Takeaway Food Services",144.935918968601,-37.82238445245,"-37.822384452449995, 144.9359189686012"
"Part Ground 215 Spring Street MELBOURNE VIC 3000","Anda Cafe","Outdoor, Indoor",58,2022,68,108990,108990,"209-227 Spring Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.971875970748,-37.8099447865,"-37.8099447865, 144.97187597074836"
"Part Ground Building E 550 Little Lonsdale Street MELBOURNE VIC 3000","Angliss Restaurant","Indoor",150,2022,81,561698,105462,"Building E, C L Cunneen Wing 550 Little Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.952702429011,-37.8133052201,"-37.8133052201, 144.95270242901137"
"7-9 Corrs Lane MELBOURNE VIC 3000","Ants Bistro","Indoor",100,2022,67,108582,108582,"Mantra On Russell 210-222 Russell Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96796057343,-37.81133821925,"-37.81133821925, 144.9679605734296"
"275 Lygon Street CARLTON VIC 3053","Aperitivo Bar Ristorante","Indoor, Outdoor",70,2022,206,106137,106137,"275 Lygon Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.966910443787,-37.79905375545,"-37.79905375545, 144.96691044378733"
"Shop 5, 120 Spencer Street MELBOURNE VIC 3000","Apna Desi Indian Restaurant","Indoor",20,2022,31,108968,108968,"613-639 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.954364797688,-37.81818416285,"-37.81818416285, 144.95436479768804"
"Ground 109-111 Hawke Street WEST MELBOURNE VIC 3003","Apollo Cafe","Outdoor, Indoor",70,2022,419,104728,104728,"109-115 Hawke Street WEST MELBOURNE VIC 3003","West Melbourne (Residential)",4511,"Cafes and Restaurants",144.946628276006,-37.80784378645,"-37.80784378645, 144.94662827600644"
"642-644 Elizabeth Street MELBOURNE VIC 3000","Arabesque","Indoor, Outdoor",93,2022,260,103272,103272,"642-644 Elizabeth Street MELBOURNE VIC 3000","Carlton",4511,"Cafes and Restaurants",144.958614399141,-37.8032869827,"-37.8032869827, 144.95861439914054"
"2 Flinders Walk MELBOURNE VIC 3000","Arbory Bar and Eatery","Outdoor",375,2022,4,104034,104034,"Flinders Street Railway Station 207-361 Flinders Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.965775798934,-37.8186817777,"-37.8186817777, 144.96577579893395"
"512 Macaulay Road KENSINGTON VIC 3031","Argi","Indoor, Outdoor",28,2022,2524,615808,615808,"512 Macaulay Road KENSINGTON VIC 3031","Kensington",4511,"Cafes and Restaurants",144.92913780795,-37.794080298698,"-37.794080298698006, 144.92913780795"
"Part Podium 1 Southgate Avenue SOUTHBANK VIC 3006","Aria Bar & Lounge","Indoor",63,2022,753,110323,110380,"Langham Hotel 1 Southgate Avenue SOUTHBANK VIC 3006","Southbank",4520,"Pubs, Taverns and Bars",144.966303090775,-37.82071820925,"-37.82071820925, 144.96630309077528"
"Tenancy 3-4, Ground 168 Exhibition Street MELBOURNE VIC 3000","Arlechin","Indoor, Outdoor",80,2022,58,103622,103622,"166-172 Exhibition Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.970733870085,-37.8115160536,"-37.8115160536, 144.97073387008544"
"408 Queen Street MELBOURNE VIC 3000","Armitea","Outdoor, Indoor",45,2022,104,108087,108087,"Melbourne Terrace Apartments 408-416 Queen Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.958476596285,-37.8089811731,"-37.808981173099994, 144.95847659628504"
"Shop 2-3, 540 Little Collins Street MELBOURNE VIC 3000","Aroma Restaurant","Indoor",40,2022,42,105949,105949,"538-542 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9567679862,-37.8169666759724,"-37.81696667597237, 144.9567679862"
"250A Queen Street MELBOURNE VIC 3000","Aroma Studio","Indoor",16,2022,74,108103,108103,"244-250 Queen Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.959963790124,-37.81268993125,"-37.81268993125, 144.95996379012394"
"Part Ground 417 St Kilda Road MELBOURNE VIC 3004","Aromatic Espresso","Indoor",40,2022,720,108627,108627,"415-421 St Kilda Road MELBOURNE VIC 3004","Melbourne (Remainder)",4511,"Cafes and Restaurants",144.977043709474,-37.83774643885,"-37.83774643885, 144.97704370947372"
"563 Flinders Street MELBOURNE VIC 3000","Arry Café","Indoor",15,2022,1,611395,611395,"561-581 Flinders Street MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.955900509266,-37.8210878514,"-37.821087851399994, 144.95590050926558"
"Shop Ground 94 Elizabeth Street MELBOURNE VIC 3000","Art Masterclass Master Cafe","Indoor, Outdoor",43,2022,35,103322,103322,"92-94 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.964173587701,-37.8157323033,"-37.815732303299995, 144.964173587701"
"Shop 3, Ground 264-274 Little Collins Street MELBOURNE VIC 3000","Aru Melbourne","Indoor",110,2022,45,101140,101140,"Centrepoint Mall 283-297 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9652233527,-37.8142057874925,"-37.8142057874925, 144.96522335269998"
"Tenancy 2, Ground 50 Flemington Road PARKVILLE VIC 3052","Aruba @ MCRI","Indoor",32,2022,931,103908,103908,"Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052","Parkville",4511,"Cafes and Restaurants",144.9495226105,-37.7936310513435,"-37.793631051343525, 144.9495226105"
"Part Ground 6 Riverside Quay SOUTHBANK VIC 3006","Asado Bar y Grill","Outdoor, Indoor",116,2022,801,110327,110327,"6 Riverside Quay SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.96382772145,-37.8208268315395,"-37.82082683153955, 144.96382772145"
"Level 1 295 Exhibition Street MELBOURNE VIC 3000","Asian BBQ House","Indoor",105,2022,87,103610,103610,"295-301 Exhibition Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.968827373334,-37.8089310258,"-37.80893102580001, 144.96882737333382"
"Shop 311, Level 3 300 Lonsdale Street MELBOURNE VIC 3000","Asian Beer Cafe","Indoor, Outdoor",687,2022,85,105746,105746,"Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.962838870636,-37.8109017475,"-37.8109017475, 144.96283887063584"
"Shop 4 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008","Asian Delights Docklands","Indoor",18,2022,1103,599505,573403,"Victoria Point 744-770 Bourke Street DOCKLANDS VIC 3008","Docklands",4512,"Takeaway Food Services",144.947350929003,-37.81812972055,"-37.81812972055, 144.94735092900342"
"Shop 52, 45 Collins Street MELBOURNE VIC 3000","Asian Pavilion","Outdoor, Indoor",27,2022,28,102063,102060,"Collins Place 45 Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.972625572653,-37.81430518125,"-37.81430518125, 144.97262557265284"
"60 Pelham Street CARLTON VIC 3053","Assembly Store","Indoor, Outdoor",21,2022,247,107558,107558,"60 Pelham Street CARLTON VIC 3053","Carlton",4512,"Takeaway Food Services",144.96733572915,-37.8026208315209,"-37.8026208315209, 144.96733572915"
"62 Pelham Street CARLTON VIC 3053","Assembly Store","Outdoor, Indoor",21,2022,247,107557,107557,"62 Pelham Street CARLTON VIC 3053","Carlton",4512,"Takeaway Food Services",144.96729235995,-37.8026281198023,"-37.80262811980231, 144.96729235995"
"Shop 21, Level 4 717 Bourke Street DOCKLANDS VIC 3008","Asuka Sushi","Indoor, Outdoor",46,2022,1105,578096,578096,"715-727 Bourke Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.9502450218,-37.8186575382345,"-37.81865753823454, 144.9502450218"
"Part Ground North Tower 485 La Trobe Street MELBOURNE VIC 3000","Atrium 485","Indoor",32,2022,82,105460,105460,"479-495 La Trobe Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9549226031,-37.8127072396559,"-37.81270723965592, 144.9549226031"
"Shop 308, 287 Lonsdale Street MELBOURNE VIC 3000","Au79 Emporium Pty Ltd","Indoor",78,2022,65,105698,105698,"269-321 Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.963928937014,-37.81247035035,"-37.81247035035, 144.96392893701363"
"103-107 Errol Street NORTH MELBOURNE VIC 3051","Auction Rooms Cafe","Outdoor, Indoor",132,2022,346,103426,103426,"103-107 Errol Street NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.949461126857,-37.80245669215,"-37.80245669215, 144.9494611268573"
"101 Flemington Road NORTH MELBOURNE VIC 3051","Avist Cafe","Outdoor, Indoor",74,2022,378,103824,103824,"George Apartments 97-103 Flemington Road NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.952707006392,-37.7984422874,"-37.7984422874, 144.9527070063923"
"81 Flemington Road NORTH MELBOURNE VIC 3051","Avobowl","Indoor, Outdoor",28,2022,378,103819,103819,"81-85 Flemington Road NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.953140127103,-37.79878818025,"-37.79878818025, 144.95314012710293"
"Ground 1 Spring Street MELBOURNE VIC 3000","Axil Coffee Roasters","Indoor",16,2022,18,108975,108975,"1-9 Spring Street MELBOURNE VIC 3000","Melbourne (CBD)",4512,"Takeaway Food Services",144.973791802927,-37.8149934539,"-37.8149934539, 144.97379180292722"
