"Business.address","Trading.name","Seating_type","Number_of_seats","Census.year","Block.ID","Property.ID","Base.property.ID","Building.address","CLUE.small.area","Industry..ANZSIC4..code","Industry..ANZSIC4..description","Longitude","Latitude","location"
"Shop 13-15, Ground 18-38 Siddeley Street DOCKLANDS VIC 3008","Man Mo @ Wtc","Indoor",110,2022,131,103978,111287,"18-38 Siddeley Street DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.953782543299,-37.8225810113,"-37.8225810113, 144.9537825432986"
"Shop 46B, Ground 8 Whiteman Street SOUTHBANK VIC 3006","Man Tong Kitchen","Indoor",180,2022,803,111175,110477,"Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.958329931239,-37.82316159555,"-37.823161595550005, 144.95832993123923"
"Ground 8 Rankins Lane MELBOURNE VIC 3000","Manchester Press","Indoor",63,2022,54,108145,108145,"8-14 Rankins Lane MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9621274884,-37.8138742574811,"-37.81387425748112, 144.9621274884"
"Level 1 7-9 Waratah Place MELBOURNE VIC 3000","Manchuria","Indoor",45,2022,66,109952,109952,"7-9 Waratah Place MELBOURNE VIC 3000","Melbourne (CBD)",4520,"Pubs, Taverns and Bars",144.966990317891,-37.8116248871,"-37.8116248871, 144.96699031789075"
"Ground 143-145 Lygon Street CARLTON VIC 3053","Mandina Kitchen","Indoor, Outdoor",80,2022,254,106092,106092,"143-145 Lygon Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.966097642262,-37.8037840084,"-37.8037840084, 144.9660976422623"
"Gnd & Bmt 121 Elizabeth Street MELBOURNE VIC 3000","Maniax Axe Throwing Melbourne CBD","Indoor",100,2022,34,105929,105929,"335-349 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",9139,"Amusement and Other Recreational Activities n.e.c.",144.96330054055,-37.8155775166592,"-37.815577516659154, 144.96330054055"
"Level 1 287-289 Elizabeth Street MELBOURNE VIC 3000","Mankeumi","Indoor",20,2022,74,103200,103200,"287-289 Elizabeth Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.961634730693,-37.81190945695,"-37.811909456950005, 144.96163473069288"
"130 A'Beckett Street MELBOURNE VIC 3000","Mansae Korean Bbq & Bar","Indoor",60,2022,104,104084,104084,"151-165 Franklin Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95956878425,-37.8090434878174,"-37.809043487817426, 144.95956878425"
"167 Grattan Street CARLTON VIC 3053","Mantra Lounge","Indoor, Outdoor",66,2022,243,104455,104455,"167 Grattan Street CARLTON VIC 3053","Carlton",4511,"Cafes and Restaurants",144.9632975048,-37.8005835134677,"-37.800583513467714, 144.96329750479998"
"Level 1-8 133 Jolimont Road EAST MELBOURNE VIC 3002","Mantra On Jolimont","Outdoor, Indoor",68,2022,655,105121,105121,"Mantra on Jolimont 133-143 Jolimont Road EAST MELBOURNE VIC 3002","East Melbourne",4400,"Accommodation",144.978277827372,-37.81794934475,"-37.81794934475, 144.97827782737198"
"Shop 2, 1-5 Errol Street NORTH MELBOURNE VIC 3051","Manze","Indoor",24,2022,345,103392,103392,"1-5 Errol Street NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.948980124382,-37.8048849652,"-37.8048849652, 144.94898012438227"
"214-216 Little Bourke Street MELBOURNE VIC 3000","Mao Please","Indoor",120,2022,66,105881,105881,"214-216 Little Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96621799755,-37.8120477823187,"-37.81204778231875, 144.96621799755002"
"Shop 4-5, 551-555 Little Lonsdale Street MELBOURNE VIC 3000","Mapo Grill & Bar","Indoor",64,2022,72,106023,106023,"551-555 Little Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.95556507795,-37.8132956213603,"-37.81329562136028, 144.95556507794998"
"6 Russell Place MELBOURNE VIC 3000","Marameo","Indoor, Outdoor",105,2022,46,105964,105964,"188-194 Little Collins Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9675811687,-37.813907449367,"-37.81390744936704, 144.9675811687"
"Ground 61-69 A'Beckett Street MELBOURNE VIC 3000","Marche Board Game Cafe","Indoor",75,2022,95,500333,500333,"61-69 A'Beckett Street MELBOURNE VIC 3000","Melbourne (CBD)",9139,"Amusement and Other Recreational Activities n.e.c.",144.961748842428,-37.8091931473,"-37.8091931473, 144.96174884242788"
"Shop 82, Ground 8 Whiteman Street SOUTHBANK VIC 3006","Margo's","Indoor",140,2022,803,111175,110477,"Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006","Southbank",4511,"Cafes and Restaurants",144.958329931239,-37.82316159555,"-37.823161595550005, 144.95832993123923"
"122-124 Peel Street NORTH MELBOURNE VIC 3051","Maria's Trattoria","Outdoor, Indoor",84,2022,360,107531,107531,"122-124 Peel Street NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.956458807588,-37.8052002703,"-37.8052002703, 144.956458807588"
"Trolley Hire Queen Victoria Market Victoria Street MELBOURNE VIC 3000","Market Espresso & Trolley Hire","Outdoor, Indoor",60,2022,113,110673,108118,"83-129 Victoria Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9576272223,-37.8078325742213,"-37.807832574221266, 144.9576272223"
